상품코드,상품명,은행,최저금리,최고금리,최대한도,필요신용등급,담보필요,직장조건
A-01,무담보신용대출,A은행,4.5%,8.0%,50000000,3등급이상,불필요,정규직
A-02,프리미엄대출,A은행,3.0%,5.5%,100000000,1등급이상,불필요,정규직
A-03,담보론,A은행,3.8%,6.5%,250000000,4등급이상,필요,제한없음
A-04,소액대출,A은행,10.0%,16.0%,7000000,6등급이상,불필요,제한없음
B-01,무담보신용대출,B은행,6.0%,12.0%,30000000,5등급이상,불필요,제한없음
B-02,우량고객대출,B은행,3.5%,6.0%,80000000,2등급이상,불필요,정규직
B-03,담보부대출,B은행,4.0%,7.0%,300000000,3등급이상,필요,제한없음
B-04,급여소액대출,B은행,9.0%,14.0%,5000000,5등급이상,불필요,제한없음
C-01,담보부대출,C은행,3.5%,6.0%,200000000,4등급이상,필요,제한없음
C-02,신용대출,C은행,7.0%,13.0%,40000000,4등급이상,불필요,정규직
C-03,저신용담보대출,C은행,6.5%,11.0%,150000000,7등급이상,필요,제한없음
D-01,중금리대출,D은행,8.0%,15.0%,20000000,6등급이상,불필요,제한없음
D-02,정규직우대대출,D은행,4.2%,7.5%,60000000,3등급이상,불필요,정규직
D-03,담보대출,D은행,3.3%,5.8%,280000000,2등급이상,필요,제한없음
D-04,초저신용특별대출,D은행,12.0%,18.0%,10000000,8등급이상,필요,제한없음
E-01,직장인우대대출,E은행,4.0%,7.0%,70000000,2등급이상,불필요,정규직
E-02,무직자소액대출,E은행,11.0%,17.0%,5000000,7등급이상,불필요,제한없음
E-03,담보대출,E은행,3.6%,6.2%,200000000,5등급이상,필요,제한없음
E-04,중금리대출,E은행,9.0%,15.0%,25000000,6등급이상,불필요,제한없음
F-01,프리미엄담보대출,F은행,3.0%,5.0%,300000000,1등급이상,필요,제한없음
F-02,계약직소액대출,F은행,10.0%,16.0%,12000000,6등급이상,불필요,제한없음
F-03,무담보신용대출,F은행,6.5%,11.5%,35000000,5등급이상,불필요,정규직
